id,slug,openTime,closeTime,city,address,postcode,voivodeship,county,community,region,salesRegion,openTimeSeconds,closeTimeSeconds,lat,lng,services
ID06093,"ID06093,gdansk-jabloniowa-29a",06:00,23:00,Gdańsk,Jabłoniowa 29A,80-175,Pomorskie,Gdańsk,GDAŃSK (GMINA MIEJSKA),DS3,PS3.6.3,21600,82800,54.330567,18.557187,"BIH,DEN,GSM,KPO,LOT,ODP,PAC,RAC,REJ,TER,ZBC"
ID03871,"ID03871,gorzow-wielkopolski-obroncow-pokoju-38-nr-38-i",06:00,23:00,Gorzów Wielkopolski,Obrońców Pokoju 38 nr 38 I,66-400,Lubuskie,Gorzów Wielkopolski,GORZÓW WIELKOPOLSKI (GMINA MIE,DS2,PS2.5.3,21600,82800,52.764806,15.264941,"BIH,DEN,GSM,KPO,LOT,ODP,PAC,RAC,REJ,TER,ZBC"
ID06169,"ID06169,ruda-slaska-ul-niedurnego-45-lok-1",06:00,23:00,Ruda Śląska,ul. Niedurnego 45 lok. 1,41-709,Śląskie,Ruda Śląska,RUDA ŚLĄSKA (GMINA MIEJSKA),DS8,PS8.2.2,21600,82800,50.28414,18.876,"BIH,DEN,GSM,KPO,LOT,ODP,PAC,RAC,REJ,TER,ZBC"
ID06264,"ID06264,warszawa-ul-zeganska-18",06:00,23:00,Warszawa,ul. Żegańska 18,04-713,Mazowieckie,Warszawa,"WARSZAWA (GMINA MIEJSKA, MIAST",DS5,PS5.4.1,21600,82800,52.20562,21.172909,"BIH,DEN,GSM,KPO,LOT,ODP,PAC,RAC,REJ,TER,ZBC"
ID05100,"ID05100,wejherowo-dworcowa-2",06:00,23:00,Wejherowo,Dworcowa 2,84-200,Pomorskie,wejherowski,WEJHEROWO (GMINA MIEJSKA),DS3,PS3.2.3,21600,82800,54.603632,18.228519,"BIH,DEN,GSM,KPO,LOT,ODP,PAC,RAC,REJ,TER,ZBC"
ID08105,"ID08105,warszawa-zelazna-67-16",06:00,23:00,Warszawa,Żelazna 67/16,00-871,Mazowieckie,Warszawa,"WARSZAWA (GMINA MIEJSKA, MIAST",DS5,PS5.6.1,21600,82800,52.235723,20.989872,"BIH,DEN,DKM,GSM,KPO,LOT,ODP,PAC,RAC,REJ,TER,ZBC"
ID06378,"ID06378,inowroclaw-ul-kusocinskiego-1",06:00,23:00,Inowrocław,ul. Kusocińskiego 1,88-100,Kujawsko-Pomorskie,inowrocławski,INOWROCŁAW (GMINA MIEJSKA),DS1,PS1.6.5,21600,82800,52.784159,18.24934,"BIH,DEN,GSM,KPO,LOT,ODP,PAC,RAC,REJ,TER,ZBC"
ID03406,"ID03406,ustron-ul-daszynskiego-73",06:00,23:00,Ustroń,ul. Daszyńskiego 73,43-450,Śląskie,cieszyński,USTROŃ (GMINA MIEJSKA),DS9,PS9.4.4,21600,82800,49.730152,18.805773,"BIH,DEN,GSM,KPO,LOT,ODP,PAC,RAC,REJ,TER,ZBC"
ID00468,"ID00468,krakow-ul-kawiory-2",06:00,23:00,Kraków,ul. Kawiory 2,30-055,Małopolskie,Kraków,KRAKÓW (GMINA MIEJSKA),DS9,PS9.2.3,21600,82800,50.067393,19.914264,"BIH,DEN,GSM,KPO,ODP,PAC,RAC,REJ,TER,ZBC"
ID00406,"ID00406,gdansk-burzynskiego-9",06:00,23:00,Gdańsk,Burzyńskiego 9,80-462,Pomorskie,Gdańsk,GDAŃSK (GMINA MIEJSKA),DS3,PS3.1.5,21600,82800,54.394781,18.608476,"BIH,DEN,GSM,KPO,LOT,ODP,PAC,RAC,REJ,TER,ZBC"
ID04755,"ID04755,czaplinek-walecka-56-lok-u1",06:00,23:00,Czaplinek,Wałecka 56 lok. U1,78-550,Zachodniopomorskie,drawski,CZAPLINEK (GMINA MIEJSKO-WIEJS,DS2,PS2.6.4,21600,82800,53.551799,16.239207,"BIH,DEN,GSM,KPO,LOT,ODP,PAC,RAC,REJ,TER,ZBC"
ID00382,"ID00382,belchatow-os-dolnoslaskie-129-b",06:00,23:00,Bełchatów,Os. Dolnośląskie 129 b,97-400,Łódzkie,bełchatowski,BEŁCHATÓW (GMINA MIEJSKA),DS6,PS6.5.3,21600,82800,51.357602,19.36134,"BIH,DEN,GSM,KPO,LOT,ODP,PAC,RAC,REJ,TER,ZBC"
ID06362,"ID06362,opole-ul-oleska-15-1a",06:00,23:00,Opole,ul. Oleska 15 1A,45-052,Opolskie,Opole,OPOLE (GMINA MIEJSKA),DS7,PS7.5.4,21600,82800,50.672206,17.927479,"BIH,DEN,GSM,KPO,LOT,ODP,PAC,RAC,REJ,TER,ZBC"
ID02985,"ID02985,szczecin-ul-parkowa-5-1",06:00,23:00,Szczecin,ul. Parkowa 5/1,71-600,Zachodniopomorskie,Szczecin,SZCZECIN (GMINA MIEJSKA),DS2,PS2.1.2,21600,82800,53.435056,14.568357,"BIH,DEN,GSM,KPO,LOT,ODP,PAC,RAC,REJ,TER,ZBC"
